Name: CCTV3综艺[高清], URL: http://118.183.212.29:6868/rtp/239.255.29.12:8231$1920x1080, Date: 2024-06-03, Resolution: 1920x1080, Response Time: 11 ms
Name: CCTV3综艺[高清], URL: http://111.196.132.49:20000/rtp/239.3.1.172:8001$1920x1080, Date: 2024-09-25, Resolution: 1920x1080, Response Time: 23 ms
Name: CCTV3综艺[高清], URL: http://27.11.251.221:8008/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 30 ms
Name: CCTV3综艺[高清], URL: http://114.243.106.85:8888/rtp/239.3.1.172:8001$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 33 ms
Name: CCTV3综艺[高清], URL: http://171.118.109.218:8085/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-02, Resolution: 1920x1080, Response Time: 35 ms
Name: CCTV3综艺[高清], URL: http://60.220.167.25:8085/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 39 ms
Name: CCTV3综艺[高清], URL: http://211.158.154.196:8001/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 39 ms
Name: CCTV3综艺[高清], URL: http://27.10.75.98:8010/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 44 ms
Name: CCTV3综艺[高清], URL: http://218.68.55.35:8888/rtp/225.1.1.158:5002$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 45 ms
Name: CCTV3综艺[高清], URL: http://114.254.94.118:2222/rtp/239.3.1.172:8001$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 46 ms
Name: CCTV3综艺[高清], URL: http://27.11.251.221:8006/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 47 ms
Name: CCTV3综艺[高清], URL: http://114.243.96.249:8888/rtp/239.3.1.172:8001$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 53 ms
Name: CCTV3综艺[高清], URL: http://114.254.80.240:2222/rtp/239.3.1.172:8001$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 55 ms
Name: CCTV3综艺[高清], URL: http://27.10.215.110:8010/rtp/225.0.4.142:7980$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 57 ms
Name: CCTV3综艺[高清], URL: http://27.10.215.110:8005/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 59 ms
Name: CCTV3综艺[高清], URL: http://27.10.75.98:8010/rtp/225.0.4.142:7980$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 60 ms
Name: CCTV3综艺[高清], URL: http://118.81.151.140:8082/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 62 ms
Name: CCTV3综艺[高清], URL: http://27.11.252.32:8002/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 62 ms
Name: CCTV3综艺[高清], URL: http://211.158.153.132:8001/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 66 ms
Name: CCTV3综艺[高清], URL: http://1.70.35.119:8082/rtp/239.1.1.9:8009$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 67 ms
Name: CCTV3综艺[高清], URL: http://211.158.154.17:8001/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 71 ms
Name: CCTV3综艺[高清], URL: http://183.188.229.22:6001/rtp/226.0.2.208:9576$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 71 ms
Name: CCTV3综艺[高清], URL: http://27.10.75.98:8001/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 84 ms
Name: CCTV3综艺[高清], URL: http://60.220.167.87:8085/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 87 ms
Name: CCTV3综艺[高清], URL: http://61.134.232.6:8001/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 91 ms
Name: CCTV3综艺[高清], URL: http://183.188.28.31:6001/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 95 ms
Name: CCTV3综艺[高清], URL: http://171.116.226.246:8085/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-02, Resolution: 1920x1080, Response Time: 101 ms
Name: CCTV3综艺[高清], URL: http://60.186.200.183:8888/rtp/233.50.201.196:5140$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 103 ms
Name: CCTV3综艺[高清], URL: http://60.220.167.25:8082/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 112 ms
Name: CCTV3综艺[高清], URL: http://118.81.151.140:8083/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 113 ms
Name: CCTV3综艺[高清], URL: http://211.158.154.250:8001/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 113 ms
Name: CCTV3综艺[高清], URL: http://110.177.146.171:888/rtp/239.1.1.9:8009$1920x1080, Date: 2024-10-06, Resolution: 1920x1080, Response Time: 120 ms
Name: CCTV3综艺[高清], URL: http://125.37.162.223:4022/rtp/225.1.1.158:5002$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 128 ms
Name: CCTV3综艺[高清], URL: http://114.254.94.146:2222/rtp/239.3.1.172:8001$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 133 ms
Name: CCTV3综艺[高清], URL: http://125.118.82.236:8888/rtp/233.50.201.196:5140$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 138 ms
Name: CCTV3综艺[高清], URL: http://42.58.244.214:9009/rtp/232.0.0.170:1234$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 138 ms
Name: CCTV3综艺[高清], URL: http://27.10.9.145:8002/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 140 ms
Name: CCTV3综艺[高清], URL: http://171.127.210.222:8083/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 143 ms
Name: CCTV3综艺[高清], URL: http://183.188.195.104:6001/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-04, Resolution: 1920x1080, Response Time: 162 ms
Name: CCTV3综艺[高清], URL: http://36.47.82.53:8014/rtp/239.112.205.221:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 163 ms
Name: CCTV3综艺[高清], URL: http://122.238.2.91:4022/rtp/233.50.201.196:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 172 ms
Name: CCTV3综艺[高清], URL: http://27.12.238.41:8888/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 175 ms
Name: CCTV3综艺[高清], URL: http://223.12.12.89:8084/rtp/239.1.1.9:8009$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 198 ms
Name: CCTV3综艺[高清], URL: http://218.74.24.40:4022/rtp/233.50.201.196:5140$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 201 ms
Name: CCTV3综艺[高清], URL: http://122.238.174.242:4022/rtp/233.50.201.196:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 211 ms
Name: CCTV3综艺[高清], URL: http://61.173.70.5:9988/rtp/239.45.1.68:5140$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 222 ms
Name: CCTV3综艺[高清], URL: http://219.140.242.174:8888/rtp/239.69.1.122:10370$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 224 ms
Name: CCTV3综艺[高清], URL: http://27.154.214.186:8888/rtp/239.61.3.34:9722$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 224 ms
Name: CCTV3综艺[高清], URL: http://171.125.90.159:6001/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 225 ms
Name: CCTV3综艺[高清], URL: http://123.145.27.43:8002/rtp/225.0.4.142:7980$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 231 ms
Name: CCTV3综艺[高清], URL: http://183.134.132.54:82/rtp/233.50.201.196:5140$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 232 ms
Name: CCTV3综艺[高清], URL: http://183.185.107.151:8082/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 233 ms
Name: CCTV3综艺[高清], URL: http://183.184.29.18:8002/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 242 ms
Name: CCTV3综艺[高清], URL: http://183.185.227.252:8001/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 249 ms
Name: CCTV3综艺[高清], URL: http://171.119.205.235:6001/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 258 ms
Name: CCTV3综艺[高清], URL: http://121.21.84.3:8888/rtp/239.253.92.191:6057$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 258 ms
Name: CCTV3综艺[高清], URL: http://60.223.72.117:8001/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 259 ms
Name: CCTV3综艺[高清], URL: http://60.220.167.211:8082/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 260 ms
Name: CCTV3综艺[高清], URL: http://183.147.175.107:8888/rtp/233.50.201.196:5140$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 261 ms
Name: CCTV3综艺[高清], URL: http://121.29.111.83:8888/rtp/239.253.92.191:6057$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 268 ms
Name: CCTV3综艺[高清], URL: http://171.213.204.254:8000/rtp/239.93.1.11:2223$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 269 ms
Name: CCTV3综艺[高清], URL: http://222.68.33.45:9898/rtp/239.45.1.68:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 274 ms
Name: CCTV3综艺[高清], URL: http://60.223.72.30:8001/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 277 ms
Name: CCTV3综艺[高清], URL: http://171.125.90.105:6001/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 279 ms
Name: CCTV3综艺[高清], URL: http://182.138.201.254:4022/rtp/239.93.1.11:2223$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 281 ms
Name: CCTV3综艺[高清], URL: http://171.116.120.221:5555/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 288 ms
Name: CCTV3综艺[高清], URL: http://118.81.186.173:8084/rtp/226.0.2.208:9576$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 308 ms
Name: CCTV3综艺[高清], URL: http://171.213.207.10:8088/rtp/239.93.1.11:2223$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 310 ms
Name: CCTV3综艺[高清], URL: http://27.17.193.37:9100/rtp/239.69.1.122:10370$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 314 ms
Name: CCTV3综艺[高清], URL: http://101.68.81.44:9999/rtp/233.50.201.196:5140$1920x1080, Date: 2024-05-20, Resolution: 1920x1080, Response Time: 315 ms
