更新时间,#genre#
2025-03-11 22:49:03,url
浙江频道,#genre#
NBTV-1,http://www.jeremyoto.com:82/rtp/233.50.201.168:5140$1920x1080
NBTV-2,http://www.jeremyoto.com:82/rtp/233.50.201.178:5140$1920x1080
NBTV-3,http://www.jeremyoto.com:82/rtp/233.50.201.179:5140$1920x1080
NBTV-4,http://www.jeremyoto.com:82/rtp/233.50.201.180:5140$1920x1080
浙江卫视高清,http://118.122.189.74:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://113.57.20.158:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://39.164.223.174:7799/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://110.53.218.182:9902/tsfile/live/0124_2.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://61.138.128.226:19901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://110.53.218.182:9902udp://@238.0.0.1:8031
浙江卫视高清,http://223.241.247.214:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://220.249.114.102:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://58.220.219.14:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://222.134.245.16:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://116.128.242.83:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://123.138.22.30:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://61.136.172.236:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://123.129.70.178:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://218.3.138.25:1111/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://124.128.73.58:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://220.164.192.48:50085/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视高清,http://39.164.223.174:7799udp://@224.1.1.26:10026
浙江卫视高清,http://60.223.224.176:8888/newlive/live/hls/23/live.m3u8
浙江卫视高清,http://61.138.128.226:19901/tsfile/live/1044_1.m3u8
浙江卫视高清,http://58.19.43.46:9901/tsfile/live/1037_1.m3u8
浙江卫视高清,http://58.17.48.228:808/hls/32/index.m3u8
浙江卫视高清,http://110.53.218.182:9902/tsfile/live/0124_2.m3u8
浙江卫视高清,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000009806/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009806&livemode=1&stbId=3
浙江卫视高清,http://36.156.94.111/cucc-livod.ks-cdn.gitv.tv/gitv_live/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ.m3u8
浙江卫视高清,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265031/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265031&livemode=1&stbId=no
浙江卫视高清,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000004000007275/index.m3u8?channel-id=bestzb&Contentid=5000000004000007275&livemode=1&stbId=no
浙江卫视高清,http://gslbservzqhsw.itv.cmvideo.cn/5000000004000007275/1.m3u8?channel-id=bestzb&Contentid=5000000004000007275&livemode=1&stbId=3$1920x1080
浙江卫视高清,http://gslbservzqhsw.itv.cmvideo.cn/1000000001000014260/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014260&livemode=1&stbId=3
浙江卫视高清,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265031/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265031&livemode=1&stbId=3$1920x1080
浙江钱江高清,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8$1920x1080
浙江钱江高清,https://stream1.freetv.fun/bf079ada709563bdd095159c02dfb5afb53c24e643b73f987100b9d25e9c8f41.m3u8
浙江钱江高清,https://stream1.freetv.fun/zhe-jiang-qian-jiang-du-shi-5.ctv
浙江钱江高清,https://stream1.freetv.fun/zhe-jiang-qian-jiang-du-shi-1.m3u8
浙江钱江高清,https://stream1.freetv.fun/zhe-jiang-qian-jiang-du-shi-2.m3u8
浙江钱江高清,https://stream1.freetv.fun/zhe-jiang-qian-jiang-du-shi-3.m3u8
浙江钱江高清,https://stream1.freetv.fun/zhe-jiang-qian-jiang-du-shi-5.m3u8
浙江生活高清,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-7.ctv
浙江生活高清,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-2.ctv
浙江生活高清,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-7.m3u8
浙江生活高清,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-6.ctv
浙江生活高清,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-4.ctv
浙江生活高清,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-3.ctv
浙江生活高清,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-1.ctv
浙江生活高清,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-5.ctv
浙江生活高清,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-8.ctv
浙江生活高清,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-1.m3u8
浙江生活高清,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-5.m3u8
浙江生活高清,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-4.m3u8
浙江民生高清,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8$1920x1080
浙江新闻高清,https://stream1.freetv.fun/4cb4bcb7ae35f2b30dee6b1be1a2d22108c73e9bc3729826ea009821ae7af456.m3u8
浙江新闻高清,https://stream1.freetv.fun/zhe-jiang-xin-wen-4.ctv
浙江新闻高清,https://stream1.freetv.fun/zhe-jiang-xin-wen-4.m3u8
浙江新闻高清,https://stream1.freetv.fun/zhe-jiang-xin-wen-7.m3u8
浙江新闻高清,https://stream1.freetv.fun/zhe-jiang-xin-wen-8.m3u8
浙江新闻高清,https://stream1.freetv.fun/zhe-jiang-xin-wen-3.m3u8
浙江新闻高清,https://stream1.freetv.fun/7fa07158e038a9bae3747a0cb9f8e8ff1aaba32669d28d99a498716f16569c1d.m3u8
浙江新闻高清,https://stream1.freetv.fun/zhe-jiang-xin-wen-1.m3u8
